Date,Text,Sentiment Scores,Sentiment Label
20/12/2022,"Archer’s eVTOL air taxi receives FAA airworthiness criteria specs

https://dronedj.com/2022/12/20/archers-evtol-air-taxi-receives-faa-airworthiness-criteria-specs/…

#drone  #dronestories  #uav  #technology","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
15/12/2022,"Joby’s eVTOL air taxi clears second of four FAA System Reviews

https://dronedj.com/2022/12/15/jobys-evtol-air-taxi-clears-second-of-four-faa-system-reviews/…

#drone  #dronestories  #uav  #technology","{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.0772}",positive
28/11/2022,"http://drone.actor »Pacific Group Bets on Urban Air Mobility in Vietnam, Pre-Orders SkyDrive’s Passenger eVTOL« https://bit.ly/3gFV8RZ #DroneActor #Drones #DroneBusiness","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
21/11/2022,", United Airlines said it will buy up to 200 small electric air taxis to  help customer in urban area get to airport. Taxi For Illustrations only..Credit for video unknown #drones #airtransport #innovation !","{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.6996}",positive
13/10/2022,"EVTOL air taxi developer Archer to unveil its production craft in November

https://zpr.io/HLPM6aAtZQDz

#drone  #dronestories  #uav  #technology","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
10/10/2022,"First crewed eVTOL air taxi test flight at Rome AAM vertiport debut

https://zpr.io/PD5QEu5tsVvY

#drone  #dronestories  #uav  #technology","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
10/10/2022,http://drone.actor »Joby and Skyports Develop “Living Lab” Passenger Terminal: What Will Urban Air Mobility Be Like for Passengers?« https://bit.ly/3ysGOC0 #DroneActor #Drones #DroneBusiness,"{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.3612}",positive
08/10/2022,", United Airlines said it will buy up to 200 small electric air taxis to  help customer in urban area get to airport. Taxi For Illustrations only..Credit for video unknown #drones #airtransport #innovation !","{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.6996}",positive
06/10/2022,"Joby eVTOL production, air taxi targets attacked by shorting hedge fund

https://zpr.io/UXHKCCkdR6uc

#drone  #dronestories  #uav  #technology","{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.4588}",negative
28/09/2022,"SkyDrive aims to fly into air taxi territory with two-seat SD-05 eVTOL in 2025

https://newatlas.com/aircraft/skydrive-sd-05-evtol-air-taxi/…
via 
@nwtls

#drone #UAM #eVTOL #aircraft #japan

@SpirosMargaris
 
@labordeolivier
 
@PawlowskiMario
 
@Shi4Tech
 
@DrJDrooghaag
 
@EvanKirstel
 
@Khulood_Almani
 
@FrRonconi
 
@Fabriziobustama","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
25/09/2022,"Surprising; Air Taxi Company Kittyhawk Calls It Quits 

https://gizmodo.com/kittyhawk-air-taxi-larry-page-1849564831…
via 
@Gizmodo
 
#evtol #drone #aviation #aircraft #startup 

@SpirosMargaris
 
@mvollmer1
 
@PawlowskiMario
 
@Shi4Tech
 
@FrRonconi
 
@Hana_ElSayyed
 
@Nicochan33","{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.2732}",positive
16/09/2022,", United Airlines said it will buy up to 200 small electric air taxis to  help customer in urban area get to airport. Taxi For Illustrations only..Credit for video unknown #drones #airtransport #innovation !","{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.6996}",positive
05/09/2022,"Volocopter shares its latest video update showing its eVTOL air taxi is closer than ever to reality https://buff.ly/3Ayh2N3

#drone #taxi #startup","{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.296}",positive
31/08/2022,"Volocopter shares its latest video update showing its eVTOL air taxi is closer than ever to reality https://buff.ly/3KCIi1E

#drone #taxi #startup","{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.296}",positive
31/08/2022,"Volocopter shares its latest video update showing its eVTOL air taxi is closer than ever to reality https://buff.ly/3Rpneh0

#drone #taxi #startup","{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.296}",positive
29/08/2022,"Volocopter shares latest video update showing its eVTOL air taxi is closer than ever to reality

https://zpr.io/S57aveWvAiS2

#drone  #dronestories  #uav  #technology","{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.296}",positive
22/08/2022,", United Airlines said it will buy up to 200 small electric air taxis to  help customer in urban area get to airport. Taxi For Illustrations only..Credit for video unknown #drones #airtransport #innovation !","{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.6996}",positive
02/08/2022,"Air taxi infrastructure startup 
@Skyports_Infra
 closes £21.4m Series B. 

 https://uktech.news/mobility/skyports-series-b-20220802… 

#drone #startups #skyports #investment #funding #evtol #UKtech","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
19/07/2022,"Archer taps FACC to supply eVTOL air taxi wing and fuselage components

https://zpr.io/fwadPbiBABy5

#drone  #dronestories  #uav  #technology","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
11/07/2022,"A subsidiary of Indian engineering giant L&T Technology Services Limited will develop an eVTOL (electric vertical takeoff and landing) air taxi jointly with Texas-based aerospace company, Jaunt Air Mobility. 

Read more at:
https://quickarea.in/lt-news-us-company-lt-arm-to-develop-electric-air-taxi-jointly-india-business-news/…

#drones #drone #uav #uavs #uas","{'neg': 0.05, 'neu': 0.95, 'pos': 0.0, 'compound': -0.2263}",negative
09/07/2022,", United Airlines said it will buy up to 200 small electric air taxis to  help customer in urban area get to airport. Taxi For Illustrations only..Credit for video unknown #drones #airtransport #innovation !","{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.6996}",positive
08/07/2022,On Sale  http://DRL.Team ║ Epic video shows AutoFlight air taxi actually in action: We hear a lot of chatter about human-carrying #drones — but it’s rare we actually see them in action. Hence it was a treat when eVTOL pioneer AutoFlight… http://dlvr.it/STYP35,"{'neg': 0.0, 'neu': 0.912, 'pos': 0.088, 'compound': 0.5499}",positive
08/07/2022,"Epic video shows AutoFlight air taxi actually in action: We hear a lot of chatter about human-carrying #Drones — but it’s rare we actually see them in action. Hence it was a treat when eVTOL pioneer AutoFlight releases new full scale, proof-of-concept,… https://thedronegirl.com/2022/07/08/autoflight-prosperity/?utm_source=dlvr.it&utm_medium=twitter…","{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.5499}",positive
07/07/2022,"Vertical Aerospace taps Molicel as eVTOL air taxi battery provider

https://zpr.io/m9x3U7VPRDz3

#drone  #dronestories  #uav  #technology","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
30/06/2022,", United Airlines said it will buy up to 200 small electric air taxis to  help customer in urban area get to airport. Taxi For Illustrations only..Credit for video unknown #drones #airtransport #innovation !","{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.6996}",positive
23/06/2022,"Volocopter inks deal to develop fly-by-light eVTOL air taxi control tech

https://zpr.io/9RZspakEKVxW

#drone  #dronestories  #uav  #technology","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
16/06/2022,"We're in the middle of a drone explosion:
- $5B investment in last 2 years
- 129 startups
- 170 air taxi, cargo, VTOL drones in development

#drone #dronetaxi #VTOL","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
08/06/2022,"AutoFlight releases test flight video of updated Prosperity I eVTOL air taxi

https://zpr.io/feczyG9znDWx

#drone  #dronestories  #uav  #technology","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
